Career,Skills_Required,Interests,Education,Industry,Salary_Range,Future_Demand,Work_Mode,Growth_Score,AI_Impact,Growth_Path,Description
Data Scientist,"Python, SQL, Machine Learning, Statistics",Analytics,B.Tech/BSc Data Science,IT,8-20 LPA,High,Hybrid,9,Low,Senior Data Scientist -> Lead -> AI Director,Analyze data and build predictive models
AI Engineer,"Python, Deep Learning, NLP, TensorFlow",AI,B.Tech CSE,IT,10-30 LPA,Very High,Hybrid,10,Low,AI Engineer -> AI Architect,Build AI systems
ML Engineer,"Python, ML, MLOps",AI,B.Tech,IT,8-25 LPA,Very High,Hybrid,10,Low,ML Engineer -> ML Lead,Deploy ML models
Data Analyst,"Excel, SQL, Power BI",Analytics,Any Graduate,IT,4-12 LPA,High,Hybrid,8,Medium,Analyst -> Senior Analyst,Analyze business data
Business Analyst,"SQL, Communication, Analytics",Business,MBA/B.Tech,Consulting,6-18 LPA,High,Hybrid,8,Medium,BA -> Product Analyst,Bridge business and tech
Cyber Security Analyst,"Networking, Linux, Security",Security,B.Tech,Cyber Security,5-20 LPA,High,Hybrid,8,Medium,Cyber Security Analyst -> Senior -> Manager,Career in Cyber Security domain
Cloud Engineer,"AWS, Azure, Linux",Cloud,B.Tech,Cloud,5-20 LPA,High,Hybrid,8,Medium,Cloud Engineer -> Senior -> Manager,Career in Cloud domain
DevOps Engineer,"Docker, Kubernetes, CI/CD",Infrastructure,B.Tech,IT,5-20 LPA,High,Hybrid,8,Medium,DevOps Engineer -> Senior -> Manager,Career in IT domain
Software Developer,"Java, Python, DSA",Programming,B.Tech,IT,5-20 LPA,High,Hybrid,8,Medium,Software Developer -> Senior -> Manager,Career in IT domain
Frontend Developer,"HTML, CSS, JavaScript, React",Web,B.Tech,IT,5-20 LPA,High,Hybrid,8,Medium,Frontend Developer -> Senior -> Manager,Career in IT domain
Backend Developer,"Python, NodeJS, APIs",Web,B.Tech,IT,5-20 LPA,High,Hybrid,8,Medium,Backend Developer -> Senior -> Manager,Career in IT domain
Full Stack Developer,"React, NodeJS, SQL",Web,B.Tech,IT,5-20 LPA,High,Hybrid,8,Medium,Full Stack Developer -> Senior -> Manager,Career in IT domain
